Token,Lemma
H,H
4s6,4s6
DIE,DIE
],]
;,--
X,X
248,248
Morgen-Ansgabe,Morgen-Ansgabe
.,--
 , 
15,15
Pfennig,Pfennig
Die,der
Vozelnebs,Vozelnebs
Zeitung,Zeitung
erschel,erschel
Finanz,Finanz
»,--
und,und
Randelsb|,Randelsb|
Grundatlicks-,Grundatlicks
",",--
Eypotheken-,Eypotheke
und,und
 , 
Literarigche,literarigch
ERS,ERS
HREN,HREN
R,R
ihpatmeeg,ihpatmeeg
3,3
TEEN,TEEN
Beile,Beil
 , 
Im,in
Verlage,Verlag
von,von
Ullstein,Ullstein
&,&
Co.,Co.
Verantwortl.iürdie,Verantwortl.iürdie
Redaktion,Redaktion
it,--
Ausnahme,Ausnahme
des,der
Handelsteils,Handelsteil
):,):
H.,H.
Bachmann,Bachmann
in,in
Bertin,Bertin
 , 
Deutschlands,Deutschland
Kriegsschulden,Kriegsschuld
.,--
-,--
 , 
“,--
Eine,ein
Rede,Rede
des,der
französischen,französisch
Finanzministers,Finanzminister
.,--
 , 
;,--
WE,WE
Paris,Paris
",",--
6.,6.
September,September
.,--
','
(,--
Savas,Savas
.,--
),--
 , 
Die,der
Kammer,Kammer
seßte,seßen
am,an
Freitag,Freitag
dis,dis
',--
Grörderung,Grörderung
über,über
den,der
Frie,Frie
Sensyert,Sensyert
eig,eig
fort,fort
.,--
*,*
Finonzminister,Finonzminister
Kloß,Kloß
verzas,verzas
die,der
Artikel,Artikel
“,--
des,der
Friadensvertrages,Friadensvertrag
",",--
die,der
die,der
Lasten,Last
für,für
Pensionen,Pension
und,und
Wie,Wie
»,--
derguimahungen,derguimahungen
Deutschland,Deutschland
und,und
feinen,fein
Veobhünde,Veobhünde
»,--
ven,ven
aufbürden,aufbürden
.,--
Gr,gr
erinnerte,erinnern
davan,Davan
",",--
daß,daß
Lloyd,Lloyd
Gorge,Gorge
sich,sich
.,--
am,an
41.,41.
Dezember,Dezember
dahin,dahin
aussprach,aussprechen
",",--
vbaß,vbaß
cs,Cs
reht,rehen
und,und
billig,billig
fei,fei
",",--
daß,daß
Deutschland,Deutschland
die,der
Kvriegskosten,Kvriegskoste
auferlegt,auferlegen
werden,werden
",",--
wobei,wobei
er,er
hinzu,hinzu
»,--
fügte,fügen
",",--
daß,daß
die,der
Alliierten,alliierter
bis,bis
an,an
die,der
äußerste,äußer
Grenze,Grenze
des,der
für,für
Deutschland,Deutschland
Erträglichen,Erträglich
gehen,gehen
müßten,müssen
.,--
Kloß,Kloß
shäßte,shäßen
die,der
Gosamt'umans,Gosamt'uman
der,der
.,--
Kriegsausgaden,Kriegsausgade
auf,auf
etwas,etwas
über,über
tau-,tau
fend,fend
Milliarden,Milliarde
",",--
von,von
denen,der
zwei,zwei
Drittel,Drittel
auf,auf
die,der
Alliierten,alliierter
vntfallen,vntfallen
.,--
Der,der
Frankreich,Frankreich
zufallende,zufallend
Teil,Teil
fei,fei
verhältnismäßig,verhältnismäßig
Fleiner,Fleiner
els,els
der,der
Gnglands,Gngland
und,und
Ameribas,Ameribas
.,--
Der,der
Minister,Minister
erklärte,erklären
",",--
 , 
Daß,daß
es,es
unmöglich,unmöglich
gewien,gewien
fei,fei
",",--
bie,bien
EnisGödinungssumme,EnisGödinungssumme
in,in
Bausch,Bausch
.,--
 , 
Und,und
Bogen,Bogen
festzulegen,festlegen
.,--
Frankreiß,frankreiß
erhielt,erhalten
die,der
Bezahlung,Bezahlung
und,und
iedergutniahung,iedergutniahung
der,der
Gchäden,Gchäde
in,in
der,der
Form,Form
von,von
Wiederher,Wiederher
»,--
und,und
Lieferung,Lieferung
von,von
Avrbeitsöräften,Avrbeitsöräft
.,--
Das,der
System,System
der,der
|,|
.,--
"""",--
Tei,Tei
bis,bis
auf,auf
",",--
die,der
Zahlung,Zahlung
in,in
natura,Natura
für,für
Frankreich,Frankreich
vor,vor
»,--
doilhaft,doilhaft
.,--
In,in
der,der
Goldent/<ädigaing,Goldent/<ädigaing
sei,sein
Belgien,Belgien
die,der
Priorität,Priorität
zu-,zu
gestanden,stehen
worden,werden
",",--
Klo3,Klo3
erwähnte,erwähnen
.,--
daß,daß
Deut'<land,Deut'<land
die,der
verwüste-,verwüste-
»,--
bey,bey
.,--
Gebiete,Gebiet
wieder,wieder
instondfegen,instondfegen
müsse,müssen
",",--
und,und
zählte,zählen
die,der
dur,dur
<,<
den,der
Frisdenspertrag,Frisdenspertrag
Deutschland,Deutschland
übertragenen,übertragen
Lasten,Last
auf,auf
",",--
soweit,soweit
ste,ste
fi,fi
),--
auf,auf
Bezahlung,Bezahlung
in,in
Waven,Wave
",",--
Schiffsn,Schiffsn
",",--
Kohlen,Kohl
usw.,usw.
vor,vor
März,März
2921,2921
beziehen,beziehen
.,--
Diess,Diess
würden,werden
viellsicht,viellsichen
die,der
durH.,durH.
den,der
Friedens,Frieden
»,--
vertrag,Vertrag
vorgesehenen,vorgesehen
zwanzig,zwanzig
.,--
Milliarden,Milliarde
.,--
übersteigen,übersteigen
.,--
Der,der
.Mi-,.Mi-
mister,Mister
weist,weisen
mit,mit
Nachdruck,Nachdruck
auf,auf
die,der
Wichtigkeit,Wichtigkeit
der,der
Klauseln,Klausel
hin,hin
",",--
die,der
die,der
Bezahrung,Bezahrung
der,der
SPäden,SPäde
und,und
der,der
Pensionen,Pension
an,an
die,der
Opfer,Opfer
aind,aind
Kriogsteilnehmer,Kriogsteilnehmer
voriehen,voriehen
",",--
was,wer
einär,einär
Summe,Summe
von,von
zwänzig,zwänzig
Unten,unten
gleichtomme,gleichtommen
",",--
die,der
an,an
ankteich,ankteich
"""",--
allein,allein
zu,zu
30.501,30.501
"""",--
fön,fön
würde,werden
.,--
(,--
EN,EN
FURL,FURL
2828820,2828820
GEE,GEE
EA,EA
ZE,ZE
:,--
Deutschland,Deutschland
wird,werden
insgesamt,insgesamt
375,375
Milliavdeu,Milliavdeu
bezahlen,bezahlen
Und,und
fich,fich
seiner,sein
SHuld,SHuld
in,in
:,--
einem,ein
Zeitraum,Zeitraum
von,von
36,36
Jahren,Jahr
entledigen,entledigen
können,können
.,--
:,--
Während,während
der,der
beiden,beide
:,--
erften,erfn
Ihre,ihr
.,--
werde,werden
es,es
hundert,hundern
.,--
Milliarden,Milliarde
„,--
entrichten,entrichten
.,--
und,und
-naHher,-naHher
--,--
"13,8","13,8"
Milliarden,Milliarde
mit,mit
fünfprozentiger,fünfprozentig
Verzinsung,Verzinsung
.,--
Die,der
von,von
zahlende,zahlenden
:,--
To,To
tal,tal
umme,umme
werde,werden
sich,sich
nach,nach
36,36
Jahren,Jahr
auf,auf
469Mi,469Mi
l,l
»,--
Liarden,Liard
bein,Bein
:,--
n,n
..,..
Kloß,Kloß
zeigte,zeigen
die,der
Vorzüge,Vorzug
.,--
dieses,dieser
Systems,System
gegenüber,gegenüber
demjenigen,demjenigen
",",--
das,der
die,der
Deutschen,deutsche
vorschlugen,vorschlugen
",",--
als,als
sie,sie
das,der
YAnerbieten,YAnerbieten
machten,machen
",",--
auf,auf
einmal,einmal
100.,100.
Milliarden,Milliarde
zu,zu
zahlen,zahlen
.,--
.,--
;,--
.-,.-
 , 
Weiter,weiter
gab,geben
“,--
der,der
Redner,Redner
viele,vieler
Einzelheiten,Einzelheit
über,über
die,der
von,von
der,der
.,--
 , 
Wirvergutmachungskommission,Wirvergutmachungskommission
',--
getroffenen,getroffen
Maßnahmen,Maßnahme
",",--
um,um
die,der
Bez,Bez
“,--
hlung,hlung
der,der
Jahresraten,Jahresrat
durch,durch
Deuts&land,Deuts&land
sicherzustellen,sicherstellen
.,--
„,--
Wir,wir
 , 
werden,werden
",",--
“,--
so,so
erftärte,erftärn
er,er
",",--
-,--
„,--
gegenitber,Gegenitber
',--
Deutschland,Deutschland
eine,ein
tatkrä,tatkrä
«,--
“,--
 , 
tige,tig
Rolitik,Rolitik
führen,führen
.,--
.,--
Immerhin,immerhin
werden,werden
wir,wir
.,--
ihm,ihm
behilflich,behilflich
sein,sein
",",--
seine,sein
Erzeugungsmitel,Erzeugungsmitel
zu,zu
entfalten,entfalten
",",--
um,um
ihm,ihm
dir,dir
Möglich,Möglich
",",--
Feit,Feit
„,--
zu,zu
„,--
geben,geben
;,--
seine,sein
Schuld,Schuld
abzutragen,abzutragen
:,--
Das,der
geschieht,geschehen
jedoH,jedoH
in,in
einem,ein
Maße,Maß
",",--
daß,daß
es,es
nicht,nicht
.,--
in,in
eine,ein
bessere,gut
wirtschafte,wirtschaft
Liche,Liche
Zage,Zage
verseßt,verseßen
wird,werden
",",--
als,als
Frankreich,Frankreich
selhst,selhsen
.,--
Aus-,Aus
 , 
fehtießlim,Fehtießlim
