Token,Lemma
Wöchentlich,Wöchentlich
 , 
30,30
 , 
Pfenrig,Pfenrig
glich,glich
frei,frei
ins,in
Haus,Haus
.,--
Einzeinummer,Einzeinummer
 , 
10,10
Pfenalg,Pfenalg
 , 
wt,wt
Po,Po
 , 
WW,WW
.,--
Uereriäintworie,Uereriäintworie
3,3
),--
Di,di
obne,obne
TeneruneEm,TeneruneEm
der,der
 , 
emen,em
Anzeigen,Anzeige
"""",--
je,je
Arbor,Arbor
Deren,Der
:,--
 , 
Ubonnemente,Ubonnement
:,--
und,und
Unzeigene,Unzeigene
8,8
m,m
Ee,Ee
kieronderne,Kieronderne
I,I
(,--
nean,Nean
),--
wee,wee
En,En
je,je
.,--
Dis,dis
 , 
Einigung,Einigung
zwischen,zwischen
Regierung,Regierung
und,und
Matrosen,Matrose
.,--
 , 
Die,der
gestrigen,gestrig
Straßenkämpfe,Straßenkämpfe
um,um
Schloß,Schloß
und,und
Marstall,Marstall
.,--
=,=
-,--
34,34
Tote,tote
",",--
60,60
Berwundete,Berwundeter
.,--
 , 
Die,der
Ereigniffe,Ereigniff
vom,von
Montag,Montag
",",--
die,der
fich,fich
vor,vor
der,der
Kommandantur,Kommandantur
und,und
in,in
der,der
Reichs-,Reichs-
Lanzlei,Lanzlei
abspielten,abspielten
",",--
haben,haben
am,an
gestrigen,gestrig
Dienstag,Dienstag
leider,leider
eine,ein
blutige,blutig
Fortsezung,Fortsezung
gesunden,gesunden
",",--
Bereits,bereits
in,in
den,der
frühen,früh
Mor-,Mor-
genstunden,genstund
entbrannte,Entbrannte
am,an
Schloß,Schloß
und,und
Marstall,Marstall
eine,ein
erbitterte,erbittert
Straßenschlacht,Straßenschlacht
zwischen,zwischen
der,der
Volkemarinedivision,Volkemarinedivision
im,in
Mar«-,Mar«-
stall,Stall
und,und
Schloß,Schloß
und,und
den,der
regierungetreuen,regierungetreu
Gardeizuppen,Gardeizuppe
im,in
Verein,Verein
mit,mit
der,der
Nepu-,Nepu
Slikauischen,slikauisch
Soldatenwehr,Soldatenwehr
.,--
Eine,ein
au,au
die,der
Matrosen,Matrose
overichtete,overichtet
Aufferderung,Aufferderung
",",--
Schloß,Schloß
und,und
Maricall,Maricall
zu,zu
verlassen,verlassen
",",--
wurde,werden
von,von
ihnen,ihnen
e5--lehnt,e5--lehnt
",",--
Darauf,darauf
begann,beginnen
ein,ein
ftar-,ftar-
Fes,Fes
Feuczgefecchht,Feuczgefecchht
",",--
bei,bei
dem,der
aun,aun
<,<
schwere,schwer
Artillerie,Artillerie
in,in
Tätigkeit,Tätigkeit
trat,treten
.,--
 , 
Den,der
ganzen,ganz
Tag,Tag
ber,ber
wurden,werden
zwischen,zwischen
der,der
Negierung,Negierung
und,und
den,der
Matrosen,Matrose
Ber-,Ber
handlungen,handlungen
geführt,führen
.,--
Auch,auch
das,der
Kabinett,Kabinett
hielt,halten
Sonverbesprecßungen,Sonverbesprecßung
ab,ab
",",--
die,der
bis,bis
spät,spät
in,in
die,der
Nacht,Nacht
andauerten,andauerten
.,--
Stadtkomman-,Stadtkomman-
dant,dant
Wels,Wel
ift,ift
abgesetzt,absetzen
worden,werden
",",--
 , 
Ie,Ie
3a,3a
dor,dor
Opfer,Opfer
.,--
 , 
Wie,wie
wir,wir
in,in
später,spät
Abendstunde,abendstunde
von,von
zu-,zu-
verlässiger,verlässig
Seite,Seite
hören,hören
",",--
beträgt,betragen
die,der
Ge-,Ge
famizahl,Famizahl
der,der
Todesopfer,Todesopfer
34,34
",",--
die,der
Zahl,Zahl
der,der
Verwundeten,verwundeter
etwa,etwa
sechzig,sechzig
.,--
 , 
Davon,davon
entfallen,entfallen
auf,auf
die,der
Regierungs,Regierung
hruppen,hruppen
23,23
Tote,tote
und,und
etwa,etwa
35,35
Verwundete,Verwundet
",",--
auf,auf
die,der
Matrosen,Matrose
eif,eif
Tote,tote
und,und
23,23
Vero,Vero
wundere,wunderen
.,--
 , 
Sine,Sin
amtliche,amtlich
Darffellung,Darffellung
.,--
 , 
De,De
>,>
Matrosenputs,Matrosenput
<,<
gegen,gegen
die,der
Neichs-,Neichs-
zegierung,Zegierung
hat,haben
am,an
Dienstag,Dienstag
in,in
dc,dc
:,--
frühen,früh
Morgenstunden,Morgenstunde
seine,sein
weitere,weit
Forisehung,Forisehung
ge-,ge
nommen,nommen
und,und
eine,ein
große,groß
Anzahl,Anzahl
Toter,Toter
=,=
>,>
man,man
spricht,sprechen
von,von
über,über
70,70
=,=
gekostet,kosten
.,--
Gordetruppen,Gordetruppe
",",--
die,der
sich,sich
des,der
Marstal,Marstal
/,--
gebäud,gebäud
25,25
bemächtigen,bemächtigen
sollten,sollen
",",--
rüften,rüfen
mit,mit
Urtillerie,Urtillerie
heran,heran
",",--
Nach,nach
den,der
bis-,bis
Herigen,Herig
ziemlich,ziemlich
unklaren,unklar
Meldungen,Meldung
soll,sollen
zuerst,zuerst
von,von
den,der
Matrosen,Matrose
in,in
der,der
Unnahme,Unnahme
geschossen,schießen
worden,werden
sein,sein
",",--
es,es
handle,handeln
fich,fich
um,um
eine,ein
Gegen-,Gege
revoln,revoln
!,--
ien,ien
