Token,Lemma
:,--
unterbrochen,unterbrechen
",",--
“,--
damit,damit
die,der
Deutschen,deutsche
unter,unter
fich,fich
berat,Berat
»,--
.,--
seßlagen,seßlagen
konnten,können
",",--
-,--
Darauf,darauf
kamen,kommen
die,der
Deutschen,deutsche
in,in
drei,drei
 , 
','
mission,Mission
dauerten,dauern
bis,bis
3s7,3s7
Uhr,Uhr
.,--
Dann,dann
vereinigten,vereinigt
fich,fich
 , 
7,7
SERN,SERN
befördert,befördern
würden,werden
.,--
 , 
dauerte,dauern
 , 
.,--
ausgedehnts,ausgedehnt
Küstengrenze,Küstengrenze
erhalten,erhalten
",",--
und,und
zwar,zwar
mit,mit
einem,ein
 , 
N,N
 , 
-,--
eten,en
",",--
sie,sie
.,--
würden,werden
ihr,ihr
Möglichstes,Möglichst
tun,tun
",",--
um,um
bereit,bereit
zu,zu
Fein,Fein
",",--
sie,sie
seien,sein
aber,aber
.,--
vonder,vond
.,--
Schnelligbeit'abhängig,Schnelligbeit'abhängig
",",--
mit,mit
 , 
Wehje.:e,Wehje.:e
"""",--
einen,ein
9,9
open,op
Teil,Teil
Gmieflons,Gmieflon
bekommen,bekommen
...,--
"""",--
.,--
 , 
schlossen,schließen
",",--
daß,daß
Ostpreußen,Ostpreußen
eine,ein
besondere,besonderer
Republiksein,Republiksein
 , 
-Berlintse,-Berlintse
Zeitung,Zeitung
von,von
Staats,Staat
»,--
.,--
und-,und
gelehrten,gelehrt
ESatßen,ESatße
.,--
aW,aW
Hal,Hal
8,8
 , 
pu,pu
),--
Vopzlache,vopzlach
Zeftung,Zeftung
eeeheint,eeeheinen
zweimal,zweimal
täglich,täglich
 , 
Literarische,Literarische
„,--
Dmaohau,Dmaohau
",",--
“,--
Wige,Wige
:,--
 , 
(,--
morgens,morgens
und,und
abends,abends
),--
",",--
an,an
-Sonn-,-Sonn-
nnd,nnd
Festiagen,Festiag
einmal,einmal
.,--
-Jeden,-Jeden
Sonntag,Sonntag
die,der
Hlvetrierte,Hlvetrierte
Beilage,Beilage
',--
„,--
Zeitbilder“.-,Zeitbilder“.-
Sonztige,Sonztige
Finanz,Finanz
»,--
und,und
Handelsblatt,Handelsblatt
",",--
Grundstücks-,Grundstück
",",--
Bypotheken-,Bypothek
und,und
(,--
Geldverkehr,Geldverkehr
",",--
Für,für
Beige,Beig
nnd,nnd
Wanderung,Wanderung
",",--
 , 
nachaftliche,nachaftlich
"""",--
Sonntags,Sonntag
Beilage,Beilage
Allgemeine,allgemein
-,--
Verlosungs,Verlosung
-,--
Tabelle,Tabell
",",--
