Token,Lemma
els,els
:,--
wödentiie,wödentiie
oder,oder
diextell,diextell
.,--
3.,3.
ve,Ve
 , 
Pfennig,Pfennig
Sglich,sglich
frei,frei
ins,in
Haus,Haus
Einzeloummer,Einzeloummer
10,10
Pfennig,Pfennig
 , 
VI,VI
[,[
ve,ve
 , 
jail,Jail
€,€
Kol,Kol
eder,ed
Rat,Rat
Eieez,Eieez
eiue,eiue
WD,WD
 , 
Anze,Anze
Es,es
190,190
%,%
;,--
7.,7.
arr,arr
),--
LICH,LICH
im,in
vent,vent
.,--
Arbe,Arbe
EIIIE,EIIIE
 , 
Yie,Yie
neuen,neu
Waffenstillstands,Waffenstillstand
-Berhandlungen,Berhandlungen
.,--
 , 
die,der
Fragen,Frage
an,an
die,der
Entente,Entent
.,--
 , 
Telegr,Telegr
",",--
unseres,unser
Korrespoadenten,Korrespoadent
.,--
 , 
Trier,Trier
",",--
15.,15.
Zuruar,Zuruar
.,--
 , 
Die,der
Verhandlungen,Verhandlung
zur,zu
Verlängerung,Verlängerung
des,der
Waffenstillstands,Waffenstillstand
-,--
Abkommens,Abkommen
wurden,werden
heute,heute
vormittag,vormittag
in,in
Trier,Trier
im,in
Salon-,Salon
wagen,Wagen
des,der
Marschalls,Marschall
Foch,Foch
durch,durch
eine,ein
Ansprache,Ansprache
der,der
Vorsizenden,Vorsizende
der,der
beiderseitigen,beiderseitig
Waffenstill-,Waffenstill
standskommission,Standskommission
eröffnet,eröffnen
.,--
 , 
Die,der
Ansprache,Ansprache
des,der
Vorsihenden,Vorsihend
der,der
deutschen,deutsch
„,--
Voffenstilistandskommission,Voffenstilistandskommission
",",--
Staatsfeket,Staatsfeket
»,--
','
tär,Tär
Eraberger,Eraberger
",",--
enthielt,enthalten
folgende,folgend
Gedanten,Gedanten
:,--
 , 
Das,der
deutsche,deutsch
Volk,Volk
will,wollen
Frieden,Frieden
.,--
 , 
41,41
 , 
1,1
ZB,ZB
 , 
Ebezjo,Ebezjo
 , 
E,E
 , 
|,|
 , 
und,und
wirtschaftliche,wirtschaftlich
Bewegungsfreiheit,Bewegungsfreiheit
zwischen,zwischen
den,der
hejehten,hejeht
Gebieten,Gebiet
und,und
dem,der
übrigen,übrig
Deutschland,Deutschland
find,find
vernichtet,vernichten
worden,werden
.,--
Das,der
gesammte,gesammt
beseßte,beseßt
Gebiet,Gebiet
wurde,werden
seiner,sein
Verbindungen,Verbindung
mit,mit
dem,der
übrigen,übrig
