Token,Lemma
Allgemeine,allgemein
Mobil-,Mobil
machung,Machung
in,in
Rußland,Rußland
.,--
 , 
Telegt,Telegt
.,--
unseres,unser
Korrespondenten,Korrespondent
.,--
 , 
Bafel,Bafel
",",--
27.,27.
Zul,Zul
.,--
Die,der
Reuter-Agentur,Reuter-Agentur
berichtet,berichten
Über,über
Amstex-,Amstex
dam,dam
",",--
daß,daß
nach,nach
eingetroffenen,eingetroffen
Telegrammen,Telegramm
die,der
allgemeine,allgemein
Mobilmachung,Mobilmachung
in,in
Nußland,Nußland
bes,bes
gonnen,gonnen
hat,haben
.,--
Die,der
Neue,neu
Zürcher,Zürcher
Zeitung,Zeitung
meldet,melden
:,--
Nach,nach
einem,einer
des,der
Secolo,Secolo
aus,aus
London,London
bereiten,bereiten
sich,sich
die,der
alliierten,alliierter
Truppen,Truppe
auf,auf
der,der
Halbinsel,Halbinsel
Kola,Kola
vor,vor
",",--
unter,unter
günstigen,günstig
Bedingungen,Bedingung
dort,dort
ihr,ihr
Bit,Bit
 , 
Eine,ein
amtliche,amtlich
Bestätigung,Bestätigung
dieser,dieser
auf,auf
Umwegen,Umweg
hierher,hierher
gelangten,gelangt
Nachr,Nachr
ht,ht
muß,müssen
abgewartet,abgewarten
wer-,wer
den,der
.,--
Unwahr/<einlich,unwahr/<einlich
klingt,klingen
sie,sie
angesichts,angesichts
der,der
bitte,bitte
militärischen,militärisch
Mißerfolge,Mißerfolg
der,der
Bolschewiki,Bolschewiki
 , 
Das,der
Ende,Ende
der,der
5owjet-Herrschaft,5owjet-Herrschaft
in,in
ibirien,ibirien
.,--
Vormarsch,Vormarsch
auf,auf
Irkutsk,irkutsk
.,--
Telegr,Telegr
.,--
unseres,unser
Korrespondenten,Korrespondent
.,--
Rotterdam,Rotterdam
",",--
-27.,-27.
Zuli,Zuli
.,--
 , 
Aus,aus
Peking,Peking
meldet,melden
Reuter,Reuter
",",--
daß,daß
die,der
sibirische,sibirisch
Regierung,Regierung
in,in
Omsk,Omsk
in,in
einer,ein
Proklamation,Proklamation
ex-,ex
klärte,klären
",",--
ivß,ivß
infolge,infolge
der,der
Unabhängigkeitserklärung,Unabhängigkeitserklärung
von,von
Sibirien,Sibirien
die,der
Beschlüsse,Beschluß
und,und
Verordnungen,Verordnung
der,der
Eowjets,Eowjet
aufgehoben,aufheben
seien,sein
.,--
Die,der
Sowjets,Sowjet
Jelbst,Jelbst
wurden,werden
aufgelöst,auflösen
",",--
den,der
Grundbesißern,Grundbesißer
ihr,ihr
Eigentum,Eigentum
zurückgegeben,zurückgegeben
.,--
 , 
Eine,ein
Reutermeldung,Reutermeldung
aus,aus
Wladiwostok,Wladiwostok
besagt,besagen
",",--
daß,daß
„,--
einschneidende,einschneidend
Aenderungen,Aenderung
“,--
in,in
der,der
Zusommenseßung,Zusommenseßung
der,der
sibirischen,sibirisch
Regierung,Regierung
vorgenommen,vornehmen
wurden,werden
.,--
Die,der
Ussurek-Kosaken,Ussurek-Kosaken
Habe.1,Habe.1
sich,sich
den,der
Tschecho-Slowaken,Tschecho-Slowak
angeschlossen,anschließen
.,--
 , 
Das,der
ganze,ganz
Heer,Heer
im,in
Osten,Osten
macht,machen
sich,sich
bereit,bereit
",",--
um,um
auf,auf
Irkutsk,Irkutsk
vorzurücen,vorzurücen
.,--
 , 
Hrenburg,Hrenburg
in,in
den,der
Gäuden,Gäud
der,der
