Token,Lemma
die,der
deutsche,deutsch
Antwort,Antwort
an,an
Wilson,Wilson
.,--
Die,der
Beratungen,Beratung
vor,vor
dem,der
Abschluss,Abschluss
.,--
Die,der
Beratungen,Beratung
der,der
amtlichen,amtlich
Stellen,Stelle
über,über
unsere,unser
Antwort,Antwort
an,an
den,der
Präsidenten,Präsident
nahmen,nehmen
am,an
gestrigen,gestrig
Freitag,Freitag
ihren,ihr
Lauf,Lauf
.,--
Das,der
Original,Original
der,der
letzten,letzter
Note,Note
Wilsons,Wilson
traf,treffen
gestern,gestern
beim,bei
Auswärtigen,auswärtig
Amt,Amt
ein,ein
und,und
stimmt,stimmen
",",--
wie,wie
durch,durch
Vergleich,Vergleich
festgestellt,feststellen
wurde,werden
",",--
wörtlich,wörtlich
mit,mit
dem,der
bereits,bereits
vorliegenden,vorliegend
privaten,privat
Text,Text
überein,überein
.,--
Man,man
hätte,haben
gestern,gestern
abend,abend
mit,mit
der,der
Formulierung,Formulierung
fertig,fertig
werden,werden
können,können
",",--
so,so
dass,dass
sie,sie
dem,der
Bundesratsausschuss,Bundesratsausschuss
für,für
auswärtige,auswärtig
Angelegenheiten,Angelegenheit
und,und
den,der
Vertretern,Vertreter
der,der
Mehrkeiten,Mehrkeit
hätte,haben
vorgelegt,vorlegen
werden,werden
können,können
.,--
Es,es
haben,haben
sich,sich
aber,aber
in,in
letzter,letzter
Stunde,Stunde
an,an
einem,ein
wichtigen,wichtig
Punkt,Punkt
Meinungsverschiedenheiten,Meinungsverschiedenheit
ergeben,ergeben
",",--
die,der
eine,ein
neue,neu
Rückendeckung,Rückendeckung
notwendig,notwendig
machen,machen
",",--
so,so
dass,dass
möglicherweise,möglicherweise
heute,heute
noch,noch
nicht,nicht
nach,nach
Washington,Washington
telegraphiert,telegraphieren
werden,werden
kann,können
.,--
Man,man
wird,werden
",",--
soviel,soviel
ist,sein
sicher,sicher
",",--
unsere,unser
entscheidenden,entscheidend
Positionen,Position
in,in
keiner,kein
Weise,Weise
zu,zu
einer,ein
überstürzten,überstürzt
oder,oder
ungenauen,ungenau
Antwort,Antwort
drängen,drängen
",",--
sondern,sondern
das,der
historische,historisch
Schriftstück,Schriftstück
mit,mit
jeder,jeder
gebotenen,geboten
Gründlichkeit,Gründlichkeit
heranführen,heranführen
.,--
Schon,schon
damit,damit
kann,können
die,der
Entente,Entent
erkennen,erkennen
",",--
dass,dass
