Token,Lemma
(,--
*,*
AIs,AIs
 , 
BB,BB
42ER,42ER
 , 
RERE,RERE
EE,EE
 , 
Hertling,Hertling
und,und
Payer,Payer
vor,vor
dem,der
Reichstag,Reichstag
.,--
 , 
Rußland,Rußland
unterzeichnet,unterzeichnen
den,der
Friedensvertrag,Friedensvertrag
.,--
 , 
Peteröburg,Peteröburg
",",--
24.,24.
Februar,Februar
.,--
(,--
Meldung,Meldung
der,der
Petersburger,Petersburger
Telegraphen-,Telegraph
Agentur,Agentur
.,--
),--
Folgendes,Folgend
Telegramm,Telegramm
wurde,werden
am,an
24.,24.
2.,2.
um,um
7,7
Uhr,Uhr
früh,früh
durch,durch
Funkspruch,Funkspruch
an,an
die,der
deutsche,deutsch
Regierung,Regierung
in,in
Verlin,Verlin
",",--
die,der
öster,Öster
»,--
reichischeungarische,reichischeungarisch
in,in
Wien,Wien
",",--
die,der
bulgarische,bulgarisch
in,in
Sofia,Sofia
und,und
die,der
vsmanische,vsmanisch
in,in
Konstantinopel,Konstantinopel
abgesandt,abgesandt
:,--
 , 
Gemäß,gemäß
der,der
vom,von
Ausführenden,ausführenden
Hauptausschusßh,Hauptausschusßh
und,und
vom,von
Nat,Nat
der,der
Vertreter,Vertreter
der,der
Arbeiter,Arbeiter
",",--
Bauern,Bauer
und,und
Soldaten,Soldat
am,an
24.,24.
Fe-,Fe
bruar,Bruar
",",--
4,4
Uhr,Uhr
30,30
Minuten,Minute
früh,früh
",",--
getroffenen,getroffen
Entscheidung,Entscheidung
hat,haben
der,der
Rat,Rat
der,der
Volköbeauftragten,Volköbeauftragte
beschlossen,beschließen
",",--
die,der
von,von
der,der
deutschen,deutsch
Re-,Re
gierung,Gierung
gestellten,gestellt
Friedensbedingungen,Friedensbedingung
anzunehmen,annehmen
uud,uud
eine,ein
Abordnung,Abordnung
zur,zu
Unterzeichnung,Unterzeichnung
des,der
Friedens,Frieden
nach,nach
Brest-Litowsk,Brest-Litowsk
 , 
|,|
!,--
 , 
4,4
ar,ar
Zr,Zr
ise,ise
zs,zs
r,r
;,--
FiEx,FiEx
ji,ji
11,11
108,108
Ee,Ee
 , 
if,if
ji,ji
|,|
!,--
Ni,ni
 , 
[,[
H,H
 , 
Uieden,Uiede
!,--
.,--
Vielleicht,vielleicht
konnte,können
es,es
damals,damals
noch,noch
nicht,nicht
vesprochen,vesprochen
werden,werden
",",--
weil,weil
die,der
Zeit,Zeit
noch,noch
nicht,nicht
reif,reif
wor,wor
",",--
„,--
weil,weil
die,der
leitenden,leitend
Persönlichkeiten,Persönlichkeit
sich,sich
noch,noch
nicht,nicht
zur,zu
vollen,voll
Klarheit,Klarheit
der,der
Erkenntnis,Erkenntnis
hötien,höti
durchringen,durchring
Wnnen,Wnn
",",--
oder,oder
weil,weil
es,es
idnen,idnen
an,an
jener,jener
Kraft,Kraft
zu,zu
blizschnellen,blizschnell
Entschlüssen,Entschlüs
ge-,ge
bradh,Bradh
",",--
die,der
Staatsmännern,Staatsmänner
von,von
leßter,leßt
Voliendung,Voliendung
elgnet,elgnen
",",--
oder,oder
was,was
sonst,sonst
der,der
Grund,Grund
gewesen,sein
sein,sein
199,199
",",--
