Token,Lemma
[,[
2:4,2:4
WITRESAKEN|,WITRESAKEN|
 , 
oder,oder
viertel,Viertel
.,--
 , 
2,2
wötentl,wötentl
!,--
x,x
 , 
Jn,Jn
aller,aller
Kürze,Kürze
.,--
 , 
Neuigkeiten,Neuigkeit
aus,aus
Fern,ferne
und,und
Nah,Nah
.,--
 , 
Die,der
Preußische,preußisch
Staatsregierung,Staatsregierung
hat,haben
den,der
Geh,Geh
.,--
Justizrot,Justizrot
Bitta,Bitta
aus,aus
Breslau,Breslau
zum,zu
Präsi-,Präsi-
denten,denten
in,in
Oppeln,Oppeln
ernannt,ernennen
.,--
 , 
*,*
 , 
Wilson,Wilson
hat,haben
foine,foin
Rederundreise,Rederundreise
durch,durch
Ame-,Ame
rita,Rita
abgebrochen,abbrechen
",",--
angeblich,angeblich
wegen,wegen
eines,ein
Nerven-,Nerven
cho,cho
>,>
s,s
oder,oder
wegen,wegen
Verdauungzstörungen,Verdauungzstörung
.,--
Von,von
der,der
ameritanischen,ameritanisch
Presse,Presse
wird,werden
darauf,darauf
hinge-,hinge-
wiesen,weisen
",",--
daß,daß
Wilson,Wilson
in,in
den,der
leßten,leßt
Togen,Tog
seine,sein
Gegner,Gegner
mit,mit
Bezeichnungen,Bezeichnung
wie,wie
Feiglinge,Feiglinge
",",--
Pro-,Pro-
deutiche,deutich
usw.,usw.
belegte,belegen
.,--
 , 
Nach,nach
den,der
über,über
5000,5000
deutschen,deutsch
Kindern,Kind
",",--
die,der
In,in
diesem,dieser
Sommer,Sommer
Erholung,Erholung
in,in
Dänemark,Dänemark
ge-,ge
funden,funden
hoben,heben
",",--
sind,sein
jekt,jekt
1000,1000
Kinder,Kind
aus,aus
Wien,Wien
«,--
angekommen,ankommen
",",--
die,der
ebenfalls,ebenfalls
in,in
dänischen,dänisch
Familien,Familie
«,--
eufgenommen,eufgenommen
werden,werden
.,--
 , 
Sezwurgerichht,Sezwurgerichht
in,in
Essen,Essen
verurteilte,verurteilen
den,der
 , 
rigen,rig
Schlosser,Schlosser
Friedrich,Friedrich
Zumbusch,Zumbusch
wegen,wegen
Ermordung,Ermordung
seiner,sein
Matter,Matter
zum,zu
Tode,Tod
und,und
den,der
der,der
Hehlerei,Hehlerei
.,--
angeklagten,angeklagt
Bruder,Bruder
",",--
-,--
den,der
18jährigen,18jährig
Montageschlosser,Montageschlosser
Joseph,Joseph
Zumbusch-,Zumbusch-
zu,zu
sechs,sechs
Mo-,Mo
naten,nat
Gefänanis,Gefänanis
.,--
.,--
),--
 , 
In,in
Baußen,Bauße
kam,kommen
es,es
zu,zu
mehrfachen,mehrfach
Zusam,Zusam
menstößen,menstößen
zwischen,zwischen
Militär,Militär
und,und
Zivilbevölkerung,Zivilbevölkerung
.,--
Wie,wie
die,der
Untersuchung,Untersuchung
ergab,ergeben
",",--
hatten,haben
Zivilisten,Zivilist
die,der
Angehörigen,angehörige
der,der
Reichswehr,Reichswehr
verhöhnt,verhöhnen
und,und
eine,ein
drohende,drohend
Haltung,Haltung
gegen,gegen
sie,sie
eingenommert,eingenommeren
",",--
so,so
daß,daß
diese,dieser
von,von
det,det
Woffe,Woff
Gebrauch,Gebrauch
machen,machen
mußten,müssen
.,--
','
“,--
 , 
In,in
InnsbruF,InnsbruF
finden,finden
Verhandlungen,Verhandlung
statt,statt
 , 
über,über
Einführung,Einführung
eines,ein
neuen,neu
Schnellzuges,Schnellzug
nach,nach
 , 
Italien,Italien
.,--
Der,der
Schnellzug,Schnellzug
soll,sollen
von,von
Berlin,Berlin
über,über
 , 
Prog,Prog
=,=
=,=
Pilsen,Pilsen
=,=
>,>
Fürth,Fürth
=,=
>,>
München,München
=,=
>,>
Kuf-,Kuf
 , 
stein,Stein
=,=
Innsbru,Innsbru
>,>
=,=
>,>
Verona,Verona
nach,nach
Rom,Rom
aehen,aehen
.,--
-,--
.,--
 , 
Die,der
Arbeiter,Arbeiter
der,der
Firma,Firma
Adam,Adam
Opei,Opei
in,in
Jüüfselheim,Jüüfselheim
am,an
Moin,Moin
sind,sein
",",--
entgegen,entgegen
den,der
Ge-,Ge
werkschaftsbeschlüssen,werkschaftsbeschlüssen
",",--
in,in
den,der
Ausstand,Ausstand
ge-,ge
treten,treten
.,--
 , 
*,*
 , 
Heute,heute
foll,foll
in,in
Engiand,Engiand
der,der
Eisenbahnerstrei,Eisenbahnerstrei
?,--
beginnen,beginnen
.,--
Die,der
Verhandlungen,Verhandlung
mit,mit
Lloyd,Lloyd
George,George
find,find
gestern,gestern
gescheitert,scheitern
.,--
4,4
 , 
Die,der
Eisenbahnstre,Eisenbahnstre
>,>
e,e
Sto,Sto
>,>
ho,ho
!,--
m,m
--,--
Göteborg,Göteborg
Joll,Joll
elektrisiert,elektrisieren
werden,werden
.,--
*,*
 , 
D'Annunzio,D'Annunzio
faudte,faudte
an,an
den,der
König,König
von,von
Zta,Zta
»,--
lien,lien
eine,ein
Botschaft,Botschaft
",",--
in,in
der,der
er,er
ihn,ihn
über,über
die,der
Lage,Lage
in,in
Fiume,Fiume
unterrichtet,unterrichten
und,und
ihn,ihn
.,--
beschwört,beschwören
",",--
die,der
Rechte,Recht
seiner,sein
Krone,Krone
auf,auf
die,der
Stadt,Stadt
mcht,mcht
aufzu-,aufzu-
geben,geben
.,--
 , 
*,*
 , 
Der,der
Streik,Streik
der,der
Landarbeiter,Landarbeiter
im,in
Kreise,Kreis
E,E
>,>
ern-,ern-
förde,Förde
erstre,erstre
>,>
t,t
sich,sich
jekt,jekt
auf,auf
fast,fast
sämtliche,sämtlicher
Güter,Gut
.,--
Die,der
Arbeitgeber,Arbeitgeber
sind,sein
zu,zu
Verhandlungen,Verhandlung
bereit,bereit
.,--
 , 
*,*
 , 
In,in
Cisenach,Cisenach
begann,beginnen
gestern,gestern
der,der
41.,41.
deutsche,deutsch
Verztetag,Verztetag
.,--
 , 
*,*
 , 
Die,der
nächste,nächster
Breslauer,Breslauer
Messe,Messe
wird,werden
in,in
der,der
Zeit,Zeit
vom,von
25.,25.
April,April
bis,bis
1,1
",",--
Mai,Mai
1920,1920
abgehalten,abhalten
.,--
In,in
Betracht,Betracht
kom,kom
nen,nen
vorzugsweise,vorzugsweise
folgende,folgend
Ge,Ge
«,--
Liete,Lieter
:,--
Bauwesen,Bauwesen
",",--
Technik,Technik
",",--
Webstoffe,Webstoff
",",--
Bekleidung,Bekleidung
",",--
Inneausstattung,Inneausstattung
",",--
Drogen,Droge
",",--
Chemikalien,Chemikalie
und,und
